Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Turkey,"Rice, paddy",1992,50026,593.0,27110.0,13.01
Peru,Plantains and others,2002,122667,1738.0,8322.88,17.44
India,Potatoes,2005,188908,1083.0,35342.0,25.72
Indonesia,Sweet potatoes,1998,95750,2702.0,1597.0,27.9
India,Potatoes,2012,217530,1083.0,52980.0,26.65
Mexico,Wheat,1994,43034,758.0,34468.93,25.05
Brazil,Cassava,2012,136118,1761.0,346583.0,21.02
Kazakhstan,Potatoes,2012,165927,250.0,8674.58,2.5
South Africa,Sorghum,2001,23429,495.0,26857.0,15.68
South Africa,Sweet potatoes,1997,38431,495.0,21596.0,15.38
Algeria,Potatoes,2001,147018,89.0,710.11,18.13
India,"Rice, paddy",1995,26972,1083.0,61257.0,27.03
Pakistan,Sweet potatoes,1995,100688,494.0,7681.0,24.58
Ecuador,Maize,2013,23702,2274.0,6471.77,21.69
Peru,Cassava,2007,111848,1738.0,9011.14,16.68
Germany,Wheat,1992,59811,700.0,29542.0,5.91
Algeria,Sorghum,2001,27750,89.0,710.11,18.13
Pakistan,Sorghum,2010,6171,494.0,2968.44,23.75
Brazil,Sorghum,1995,17981,1761.0,92967.22,27.52
Poland,Wheat,2011,41348,600.0,21779.27,8.84
Australia,Sweet potatoes,2008,266530,534.0,42935.38,16.7
India,"Rice, paddy",2007,32924,1083.0,27422.77,25.66
Argentina,Maize,2001,54553,591.0,63700.17,18.42
Bangladesh,Sorghum,1995,9804,2666.0,1702.0,26.09
India,"Rice, paddy",1998,28805,1083.0,49157.0,25.46
Argentina,"Rice, paddy",1997,53703,591.0,77691.0,18.29
Senegal,"Rice, paddy",1990,24825,686.0,384.0,25.13
Bangladesh,Maize,2010,58378,2666.0,13283.72,26.65
Kazakhstan,Potatoes,2005,150135,250.0,3666.62,4.0
Algeria,Sorghum,2000,69500,89.0,603.67,17.9
Ukraine,Wheat,1994,30745,565.0,56914.93,7.98
Ukraine,"Rice, paddy",1995,36409,565.0,51986.39,8.26
Portugal,"Rice, paddy",1996,60906,854.0,12457.0,16.12
Australia,Potatoes,2004,362787,534.0,36276.0,18.87
Madagascar,Cassava,1998,67000,1513.0,88.26,20.11
Mexico,"Rice, paddy",1996,45412,758.0,34468.93,25.06
Mauritania,"Rice, paddy",2002,45602,92.0,3.2,27.84
Morocco,Wheat,1998,14184,346.0,12621.14,18.24
Ireland,Potatoes,2012,257778,1118.0,2925.1,9.28
Mexico,Sorghum,1994,29566,758.0,34468.93,22.83
Brazil,Yams,2001,90385,1761.0,151523.0,20.96
Dominican Republic,Plantains and others,1992,79229,1410.0,4971.0,26.4
Guatemala,Sorghum,1996,11846,1996.0,12004.33,19.48
Kazakhstan,Potatoes,2002,139278,250.0,3361.84,4.77
Cameroon,Potatoes,2002,39452,1604.0,815.79,25.26
Mexico,Sorghum,1999,29901,758.0,34468.93,25.03
Spain,Sorghum,1999,50000,636.0,33614.0,12.09
Bulgaria,Soybeans,1990,8830,608.0,3906.0,9.51
Iraq,"Rice, paddy",1998,23438,216.0,755.0,20.65
India,Maize,2002,16807,1083.0,42482.56,27.15
Japan,Yams,2002,206243,1668.0,70262.54,15.73
Brazil,Cassava,2007,140099,1761.0,304031.0,25.44
Rwanda,Soybeans,1997,4928,1212.0,249.0,19.78
Mexico,Potatoes,1999,223519,758.0,34468.93,19.27
Mozambique,Maize,2007,6813,1032.0,547.31,21.91
Mali,Potatoes,2001,185714,282.0,15.36,27.79
India,Soybeans,2000,8222,1083.0,44957.52,25.11
Bangladesh,Potatoes,1993,106787,2666.0,1487.0,25.73
Colombia,Soybeans,2009,22000,3240.0,51435.13,22.87
Australia,"Rice, paddy",1994,81537,534.0,21057.0,19.17
India,Soybeans,2006,10628,1083.0,37423.0,26.28
Italy,Potatoes,2002,240997,832.0,94211.0,13.14
Jamaica,Maize,2009,12615,2051.0,909.71,27.42
Pakistan,Soybeans,1991,4992,494.0,5962.0,24.38
Pakistan,Potatoes,2002,164486,494.0,10881.83,25.61
Iraq,Maize,2012,33444,216.0,1979.27,24.34
Dominican Republic,Plantains and others,2008,94967,1410.0,5409.43,26.76
Lesotho,Maize,2012,6712,788.0,271.84,14.62
Thailand,Potatoes,2009,165948,1622.0,67933.0,27.79
Brazil,"Rice, paddy",2000,30382,1761.0,140423.0,21.69
Canada,Wheat,2000,24446,537.0,39667.0,6.67
Japan,Soybeans,2001,20195,1668.0,78735.45,15.47
Uganda,"Rice, paddy",1997,13333,1180.0,88.0,24.04
India,"Rice, paddy",2004,29756,1083.0,35113.0,26.22
Mexico,Maize,1990,19942,758.0,34468.93,21.46
Germany,Soybeans,1991,23917,700.0,32006.0,4.93
Brazil,Potatoes,2007,240356,1761.0,304031.0,18.66
Jamaica,"Rice, paddy",1997,16111,2051.0,909.71,27.8
India,"Rice, paddy",2012,36909,1083.0,52980.0,26.94
India,Sorghum,2011,9487,1083.0,55540.0,27.02
Uruguay,Wheat,1998,28929,1300.0,4239.03,16.77
Montenegro,Maize,2011,42007,241.0,75.0,11.25
India,Cassava,2008,335407,1083.0,14485.33,27.45
Honduras,Potatoes,2008,210827,1976.0,5130.42,24.25
Peru,Plantains and others,1995,127585,1738.0,3134.0,17.26
Nicaragua,Plantains and others,1992,100000,2280.0,575.0,27.16
India,Potatoes,2006,185920,1083.0,37423.0,24.98
Brazil,Yams,2008,93753,1761.0,312637.0,25.96
Brazil,Potatoes,1996,146506,1761.0,101621.67,17.83
Brazil,Yams,1990,91489,1761.0,49695.0,21.88
Suriname,Maize,1998,22000,2331.0,151.33,27.65
Brazil,"Rice, paddy",1996,26578,1761.0,101621.67,20.18
Brazil,Potatoes,1990,141084,1761.0,49695.0,20.29
Spain,Wheat,1991,24592,636.0,39147.0,11.92
Kenya,Soybeans,2009,7153,630.0,1578.0,17.3
Uganda,Sorghum,1993,15020,1180.0,71.0,23.62
Suriname,"Rice, paddy",1990,37691,2331.0,217.0,26.87
Japan,Soybeans,2010,16158,1668.0,55576.0,13.82
Brazil,Wheat,1995,15420,1761.0,92967.22,22.07
India,Wheat,1991,22814,1083.0,72133.0,26.9
Spain,Sweet potatoes,2008,171052,636.0,40719.0,11.92
Mexico,Maize,1992,23450,758.0,34468.93,21.0
India,"Rice, paddy",2010,33587,1083.0,40093.69,27.69
Netherlands,Potatoes,2007,437884,778.0,12073.15,11.04
Belgium,Maize,2008,119258,847.0,6516.47,10.9
Indonesia,Cassava,2000,125305,2702.0,1597.0,26.77
India,"Rice, paddy",1997,28457,1083.0,52279.0,24.83
Spain,Soybeans,2013,28000,636.0,54197.0,12.68
Egypt,Wheat,1990,51967,51.0,13214.0,21.6
Lebanon,Maize,2008,37778,661.0,1816.0,20.24
Mexico,Sweet potatoes,2009,190454,758.0,61690.08,16.65
Ecuador,Sorghum,2002,20000,2274.0,1302.49,17.78
Germany,Wheat,1998,72035,700.0,33377.0,9.31
India,Sorghum,2004,7161,1083.0,35113.0,27.23
South Africa,Maize,2001,24371,495.0,26857.0,15.68
Ecuador,Sweet potatoes,2001,28134,2274.0,7344.0,21.51
India,Cassava,2012,385818,1083.0,52980.0,24.37
Libya,Potatoes,2010,193849,56.0,3548.0,21.17
Iraq,Potatoes,1999,164972,216.0,508.0,20.85
Uruguay,Wheat,2008,28560,1300.0,13335.22,17.43
Brazil,Cassava,1996,117588,1761.0,101621.67,27.6
India,Maize,2001,19996,1083.0,43720.04,24.5
Burundi,Yams,2012,90258,1274.0,98.59,21.44
Nicaragua,Sorghum,2000,17658,2280.0,3925.63,26.73
Japan,Wheat,2008,42203,1668.0,58750.0,15.57
Dominican Republic,Sweet potatoes,1991,68826,1410.0,4971.0,26.57
Croatia,Sorghum,1992,45214,1113.0,2304.0,10.78
Japan,"Rice, paddy",1995,63432,1668.0,79821.18,12.98
Kenya,Cassava,1995,95560,630.0,4607.0,16.52
Brazil,Yams,2004,92345,1761.0,214725.0,20.05
Cameroon,Maize,2009,19787,1604.0,813.77,25.54
Cameroon,Cassava,1995,118667,1604.0,48.35,25.21
India,Wheat,1994,23796,1083.0,61357.0,25.75
India,Cassava,2013,349594,1083.0,45620.0,26.71
Kazakhstan,"Rice, paddy",2004,34182,250.0,3802.92,7.52
Pakistan,Sweet potatoes,2005,112584,494.0,7914.31,24.66
India,Potatoes,1991,162540,1083.0,72133.0,24.62
Japan,Potatoes,2006,304273,1668.0,65248.26,15.92
Egypt,Potatoes,2008,259390,51.0,9527.0,22.64
Ireland,Wheat,2013,89983,1118.0,2950.8,9.28
India,"Rice, paddy",1993,28303,1083.0,66388.0,25.06
Burundi,Potatoes,2005,25483,1274.0,304.83,22.29
Austria,Potatoes,2012,305491,1110.0,3563.3,9.42
India,Maize,1992,16758,1083.0,70791.0,25.58
Zimbabwe,"Rice, paddy",1990,23400,657.0,5727.0,21.19
Kenya,Sweet potatoes,1998,80590,630.0,4114.0,16.53
Ghana,Cassava,2000,122812,1187.0,81.63,26.83
Albania,Potatoes,1990,66667,1485.0,121.0,16.37
Brazil,Soybeans,1991,15533,1761.0,58349.44,25.06
India,Cassava,2007,322204,1083.0,27422.77,25.66
India,Cassava,1991,218925,1083.0,72133.0,26.2
Ghana,Yams,1995,120710,1187.0,65.8,26.87
Croatia,Sorghum,1996,41101,1113.0,3148.0,9.24
Bangladesh,Maize,1996,10166,2666.0,1919.0,26.15
Pakistan,Sweet potatoes,1995,100688,494.0,7681.0,22.61
Brazil,Wheat,2005,19735,1761.0,232232.0,27.6
Turkey,Maize,1999,44376,593.0,33089.0,18.74
Argentina,Sweet potatoes,1999,143991,591.0,62831.39,17.71
India,Potatoes,1998,146020,1083.0,49157.0,27.87
Canada,Maize,2000,62844,537.0,39667.0,7.63
Japan,Wheat,2009,32367,1668.0,60970.8,15.93
India,Sweet potatoes,1997,84850,1083.0,52279.0,24.77
India,Sorghum,2000,7639,1083.0,44957.52,26.13
Indonesia,Potatoes,2012,165820,2702.0,1597.0,27.48
Romania,Wheat,1990,32351,637.0,25255.0,12.26
Pakistan,Sorghum,1991,5866,494.0,5962.0,26.98
Papua New Guinea,Maize,2008,45455,3142.0,105.0,25.17
Estonia,Potatoes,2001,155249,626.0,329.0,6.08
Guinea,Yams,1998,118180,1651.0,181.35,27.63
India,Potatoes,2012,217530,1083.0,52980.0,25.09
Indonesia,Sweet potatoes,2006,105267,2702.0,1597.0,26.98
Germany,Wheat,2007,69611,700.0,40740.64,6.28
Japan,Maize,1999,24000,1668.0,79821.18,13.78
Chile,Potatoes,2008,172591,1522.0,9830.72,6.57
South Africa,Potatoes,2009,339378,495.0,26857.0,18.67
Malawi,Plantains and others,1998,42756,1181.0,131.59,20.92
Egypt,Maize,1992,61346,51.0,6156.0,20.09
Indonesia,Sweet potatoes,1999,96698,2702.0,1597.0,25.26
Azerbaijan,Soybeans,1998,11111,447.0,148.68,12.79
Rwanda,Potatoes,2004,80407,1212.0,159.54,19.93
Pakistan,"Rice, paddy",1990,23151,494.0,5299.0,23.14
Kenya,Soybeans,2001,8608,630.0,1578.0,16.1
Pakistan,Sweet potatoes,2008,111477,494.0,4946.79,24.89
Pakistan,Potatoes,2002,164486,494.0,10881.83,27.88
Uruguay,Sweet potatoes,2013,93902,1300.0,19028.6,15.92
Australia,Maize,2002,54929,534.0,26651.0,17.73
Brazil,Sorghum,2009,23378,1761.0,335742.0,22.25
Egypt,Sweet potatoes,2007,298171,51.0,9105.0,21.51
Mexico,Potatoes,2010,277578,758.0,63402.29,20.9
Turkey,Maize,2000,41605,593.0,33471.0,10.39
India,Cassava,2010,347555,1083.0,40093.69,27.69
Canada,Wheat,2011,29568,537.0,62107.2,7.3
Pakistan,Potatoes,1992,113709,494.0,5518.0,24.31
Brazil,Soybeans,1990,17322,1761.0,49695.0,27.65
Colombia,Sorghum,1992,30684,3240.0,15305.94,22.67
Mali,Sweet potatoes,1995,55972,282.0,28.73,27.25
Turkey,"Rice, paddy",2013,81380,593.0,39440.0,20.22
India,Sweet potatoes,2002,85694,1083.0,42482.56,26.66
Mexico,Sweet potatoes,2006,212942,758.0,50891.95,17.23
India,Sweet potatoes,2006,86849,1083.0,37423.0,26.39
Ecuador,Wheat,2010,8912,2274.0,31637.12,21.98
Germany,Potatoes,2012,447570,700.0,45522.5,5.88
Brazil,"Rice, paddy",2002,33246,1761.0,145552.0,21.3
Burkina Faso,Cassava,2006,21316,748.0,109.24,28.92
Turkey,Wheat,2002,21006,593.0,27915.0,14.51
Guatemala,Wheat,2004,20184,1996.0,11959.92,19.85
Brazil,Cassava,2012,136118,1761.0,346583.0,25.65
Niger,Wheat,2005,17276,151.0,24.75,30.02
Angola,"Rice, paddy",1994,8750,1010.0,25.5,24.04
Jamaica,Potatoes,1994,143052,2051.0,1415.65,27.48
Iraq,Wheat,1993,5897,216.0,692.0,22.86
Suriname,Soybeans,2002,9051,2331.0,986.25,27.14
Norway,Potatoes,1995,222358,1414.0,913.14,3.08
Pakistan,Soybeans,2007,5818,494.0,5935.96,25.16
India,"Rice, paddy",1995,26972,1083.0,61257.0,26.04
Ecuador,Plantains and others,1990,118358,2274.0,2537.0,17.6
Austria,Sorghum,2013,52447,1110.0,3108.6,10.03
Pakistan,Soybeans,1990,5679,494.0,5299.0,27.0
Mauritius,Potatoes,2009,231096,2041.0,749.41,24.58
Botswana,Sorghum,2005,18316,416.0,17.0,20.42
Pakistan,Sweet potatoes,2010,109417,494.0,2968.44,28.0
Austria,Soybeans,2001,20736,1110.0,3132.2,8.75
Belarus,Potatoes,2004,195459,618.0,8306.31,6.49
Egypt,Sweet potatoes,2001,266543,51.0,5039.0,21.45
Colombia,"Rice, paddy",1996,40794,3240.0,18131.0,27.12
Japan,"Rice, paddy",1999,64143,1668.0,79821.18,15.66
Brazil,"Rice, paddy",2011,48956,1761.0,345026.0,25.28
Indonesia,Maize,2000,27649,2702.0,1597.0,27.2
India,"Rice, paddy",2010,33587,1083.0,40093.69,27.16
Spain,Potatoes,2013,309367,636.0,54197.0,17.0
Chile,Maize,2000,94120,1522.0,14264.54,12.99
Bangladesh,Maize,1993,9351,2666.0,1487.0,25.73
Haiti,Plantains and others,1999,66922,1440.0,26.32,27.01
Brazil,Sorghum,2002,18573,1761.0,145552.0,21.3
Thailand,Wheat,1990,6107,1622.0,18849.0,27.96
Burkina Faso,Sorghum,1990,5827,748.0,29.1,28.77
Brazil,Sweet potatoes,1992,104452,1761.0,67003.89,17.8
Argentina,Sorghum,1997,36845,591.0,77691.0,18.54
India,Potatoes,1995,162720,1083.0,61257.0,27.03
Australia,Soybeans,1992,21141,534.0,22234.0,11.21
India,"Rice, paddy",2007,32924,1083.0,27422.77,26.15
India,Soybeans,2006,10628,1083.0,37423.0,24.72
Brazil,Soybeans,2008,28162,1761.0,312637.0,27.54
Peru,Cassava,1992,104847,1738.0,3134.0,17.96
Angola,"Rice, paddy",1992,9106,1010.0,23.0,23.96
South Africa,Sorghum,2010,22671,495.0,26857.0,16.11
Thailand,"Rice, paddy",2011,31867,1622.0,87191.0,27.56
Brazil,Cassava,1992,120019,1761.0,67003.89,20.21
India,Cassava,2007,322204,1083.0,27422.77,25.44
India,Sweet potatoes,1996,80716,1083.0,56114.0,26.46
India,Sweet potatoes,2012,97174,1083.0,52980.0,25.09
Ghana,Sorghum,2007,7427,1187.0,119.86,27.16
Pakistan,Wheat,2002,22621,494.0,10881.83,23.83
India,"Rice, paddy",1993,28303,1083.0,66388.0,27.07
Canada,Soybeans,2008,27906,537.0,53707.3,5.01
Bulgaria,Maize,2004,55400,608.0,2361.0,9.18
Canada,Maize,1990,68602,537.0,29568.0,7.82
Mauritania,Potatoes,1995,47809,92.0,39.09,27.7
Ecuador,Maize,2006,18776,2274.0,7953.42,17.6
Peru,Sorghum,1996,51836,1738.0,3755.0,16.45
Australia,Soybeans,1997,18974,534.0,34091.0,12.13
Pakistan,Sorghum,2007,6045,494.0,5935.96,27.69
Hungary,Maize,1996,56867,589.0,6946.0,9.44
Australia,Maize,2009,58171,534.0,38065.68,14.65
Honduras,Soybeans,2006,21333,1976.0,4297.51,24.88
Australia,"Rice, paddy",2012,89098,534.0,48687.88,19.55
Brazil,Maize,1996,24761,1761.0,101621.67,27.07
Hungary,Maize,1990,41577,589.0,12756.0,10.96
India,Sweet potatoes,1995,80643,1083.0,61257.0,25.5
Dominican Republic,Cassava,2004,65505,1410.0,3713.96,26.71
Romania,"Rice, paddy",2001,12632,637.0,7871.1,11.9
United Kingdom,Wheat,2011,77471,1220.0,16401.66,11.19
Central African Republic,Sorghum,2006,9517,1342.0,22.87,25.85
Guinea,"Rice, paddy",2010,11008,1651.0,556.24,27.8
Brazil,Wheat,1993,14825,1761.0,75658.33,24.65
Hungary,Maize,2012,39979,589.0,8141.17,11.31
Zambia,Sorghum,1992,3226,1020.0,1080.0,21.85
India,Cassava,2001,266998,1083.0,43720.04,25.86
Brazil,Wheat,1991,14232,1761.0,58349.44,17.95
Ecuador,Wheat,1991,5696,2274.0,2377.0,21.91
South Africa,Maize,1996,27043,495.0,19508.0,20.49
Pakistan,Wheat,2000,24907,494.0,27885.0,27.12
South Africa,Wheat,2001,25708,495.0,26857.0,15.68
India,Soybeans,2009,10236,1083.0,28707.01,27.82
Indonesia,Soybeans,2007,12908,2702.0,1597.0,26.88
Peru,Soybeans,1994,12655,1738.0,3134.0,17.31
Indonesia,Potatoes,1996,158631,2702.0,1597.0,27.53
Japan,Wheat,1993,34739,1668.0,79821.18,12.49
India,Wheat,1991,22814,1083.0,72133.0,25.85
Italy,Sorghum,1993,59684,832.0,89282.2,12.71
Germany,Wheat,2004,81716,700.0,34930.37,9.82
Australia,Soybeans,2007,19730,534.0,32446.25,20.31
Canada,Wheat,2010,28085,537.0,61050.0,7.11
Papua New Guinea,Sorghum,2001,29167,3142.0,105.0,25.43
Brazil,Cassava,2008,141371,1761.0,312637.0,21.86
Mauritius,Maize,2005,75397,2041.0,698.23,24.16
Turkey,"Rice, paddy",1995,50045,593.0,27328.0,12.06
Thailand,Soybeans,2008,16180,1622.0,65423.0,27.48
Colombia,Soybeans,2004,16169,3240.0,105514.19,22.63
Brazil,Soybeans,1996,22493,1761.0,101621.67,25.94
Uganda,Plantains and others,1993,55255,1180.0,71.0,23.62
Chile,Wheat,2006,44601,1522.0,9830.72,13.19
Ecuador,Plantains and others,2009,49631,2274.0,9666.87,17.76
Indonesia,Cassava,1992,122220,2702.0,825.0,26.72
Uruguay,"Rice, paddy",2011,83827,1300.0,17517.76,16.9
Italy,Sorghum,1997,57487,832.0,84799.0,8.18
Mexico,Sweet potatoes,1990,167541,758.0,34468.93,19.27
Brazil,Maize,2010,43667,1761.0,342580.0,20.72
India,Sweet potatoes,1994,84823,1083.0,61357.0,26.55
Pakistan,"Rice, paddy",1993,27397,494.0,4945.0,26.51
India,Wheat,2008,28022,1083.0,14485.33,26.83
Indonesia,"Rice, paddy",1992,43446,2702.0,825.0,27.4
Italy,Sorghum,1990,48234,832.0,100596.4,7.97
Mozambique,Maize,2001,9580,1032.0,26.05,21.94
Malaysia,Sweet potatoes,1997,111111,2875.0,39406.48,27.29
Namibia,Potatoes,2012,120805,285.0,56.0,20.11
Brazil,Sorghum,2002,18573,1761.0,145552.0,21.3
Mexico,Wheat,2012,56568,758.0,64512.22,21.52
Japan,Soybeans,1994,16223,1668.0,79821.18,13.78
Canada,Wheat,1990,22769,537.0,29568.0,8.2
Turkey,Wheat,2001,20765,593.0,25539.0,20.09
Ghana,Plantains and others,2011,107574,1187.0,378.97,27.11
Turkey,Maize,1999,44376,593.0,33089.0,15.0
Brazil,Sorghum,2007,21731,1761.0,304031.0,27.92
Pakistan,Soybeans,2007,5818,494.0,5935.96,23.33
Finland,Potatoes,2006,205607,536.0,1645.3,5.91
Ghana,Sweet potatoes,1998,13617,1187.0,297.78,27.28
Pakistan,Potatoes,1992,113709,494.0,5518.0,24.31
Iraq,Wheat,2007,14031,216.0,1062.61,20.12
Haiti,Yams,2011,74540,1440.0,27.85,27.1
Turkey,Wheat,2000,22928,593.0,33471.0,14.29
El Salvador,Soybeans,2008,19279,1784.0,3899.48,25.71
Australia,Potatoes,1994,294270,534.0,21057.0,19.59
Ecuador,Plantains and others,2012,60942,2274.0,11469.74,22.16
Cameroon,Plantains and others,2004,53312,1604.0,849.48,25.42
Indonesia,"Rice, paddy",1999,42519,2702.0,1597.0,26.82
Netherlands,Maize,2000,110000,778.0,11382.84,10.75
Zimbabwe,Wheat,1995,50360,657.0,2599.0,21.57
Mexico,Soybeans,2007,14121,758.0,64501.28,21.35
Hungary,"Rice, paddy",2011,32411,589.0,8473.26,10.92
Brazil,"Rice, paddy",2012,47860,1761.0,346583.0,18.8
Chile,Potatoes,2002,212397,1522.0,12047.63,6.25
Iraq,Soybeans,1990,14615,216.0,692.0,23.41
Brazil,Maize,1996,24761,1761.0,101621.67,17.83
Pakistan,Wheat,2000,24907,494.0,27885.0,27.73
Pakistan,Potatoes,2008,164550,494.0,4946.79,23.21
Netherlands,Potatoes,2006,400488,778.0,10461.35,10.97
Italy,Sorghum,2001,62045,832.0,75978.0,13.23
Ghana,Sweet potatoes,2006,14765,1187.0,771.58,27.1
Canada,Potatoes,2007,126498,537.0,45140.03,9.14
Indonesia,Potatoes,2002,155903,2702.0,1597.0,27.01
India,Wheat,1997,26789,1083.0,52279.0,23.26
Mexico,"Rice, paddy",1995,46792,758.0,34468.93,22.79
Iraq,"Rice, paddy",1996,22500,216.0,616.0,23.96
Lebanon,Wheat,2002,27356,661.0,1816.0,19.91
Zimbabwe,Cassava,2012,47010,657.0,3375.53,20.52
Australia,Wheat,2004,19998,534.0,36276.0,20.42
Pakistan,Maize,2007,34265,494.0,5935.96,23.33
Dominican Republic,Sorghum,2012,14585,1410.0,6316.61,26.84
Pakistan,Maize,1998,17853,494.0,18406.0,27.89
France,Potatoes,1998,373559,867.0,107753.0,11.25
Rwanda,"Rice, paddy",2011,55195,1212.0,181.6,19.59
Angola,Potatoes,2013,63303,1010.0,40.0,24.55
Central African Republic,Plantains and others,1992,26667,1342.0,0.04,24.81
Turkey,Wheat,2010,24400,593.0,38554.69,19.27
Guinea,Potatoes,2004,61356,1651.0,327.49,27.56
Lesotho,Wheat,1997,16291,788.0,0.3,14.28
Niger,Potatoes,2000,104924,151.0,62.0,29.43
Mali,Yams,2005,165917,282.0,14.84,28.13
Saudi Arabia,Sorghum,2013,26199,59.0,5412.5,27.57
Bangladesh,Wheat,2000,22104,2666.0,3170.0,25.91
Canada,Maize,1991,67098,537.0,29477.5,9.72
France,"Rice, paddy",2012,55947,867.0,63547.59,11.22
Cameroon,Yams,1996,75000,1604.0,180.08,25.0
Bulgaria,Wheat,2010,36185,608.0,1588.5,9.65
India,Soybeans,2007,12351,1083.0,27422.77,26.15
Mexico,Maize,2007,32063,758.0,64501.28,21.35
Brazil,Potatoes,1996,146506,1761.0,101621.67,21.56
Morocco,Wheat,2002,12793,346.0,14249.71,18.25
Germany,Wheat,2013,79979,700.0,43756.1,10.12
Argentina,"Rice, paddy",1995,50306,591.0,37842.0,17.74
Madagascar,Cassava,2000,70036,1513.0,130.46,19.65
Rwanda,Sweet potatoes,2012,91903,1212.0,925.52,19.79
Argentina,Wheat,2005,26356,591.0,65437.73,17.32
Chile,Wheat,1998,43846,1522.0,15373.0,6.28
Mexico,Potatoes,2010,277578,758.0,63402.29,16.19
Japan,Wheat,2004,40466,1668.0,64688.88,16.19
India,Sorghum,1994,7786,1083.0,61357.0,25.22
India,Maize,2005,19385,1083.0,35342.0,26.73
Egypt,"Rice, paddy",1997,84152,51.0,4607.0,20.52
Lebanon,Sorghum,2001,16000,661.0,1816.0,20.29
India,Cassava,2008,335407,1083.0,14485.33,26.51
Japan,"Rice, paddy",1999,64143,1668.0,79821.18,13.78
Brazil,Sweet potatoes,1991,101504,1761.0,58349.44,24.25
Pakistan,Sweet potatoes,2005,112584,494.0,7914.31,24.66
Pakistan,Maize,2013,42313,494.0,0.92,24.27
Suriname,Cassava,1991,154444,2331.0,207.0,26.93
Mexico,Sweet potatoes,2009,190454,758.0,61690.08,17.03
Pakistan,Soybeans,2007,5818,494.0,5935.96,23.33
Haiti,Potatoes,1993,150000,1440.0,6.96,26.78
India,Sweet potatoes,2008,88943,1083.0,14485.33,26.19
Pakistan,Sorghum,1997,5926,494.0,16936.0,26.29
Dominican Republic,Sorghum,2009,19343,1410.0,5975.25,26.88
Malawi,Maize,1995,13517,1181.0,173.19,20.86
Nepal,Wheat,1991,14103,1500.0,60.11,14.94
India,Wheat,2012,31775,1083.0,52980.0,26.04
Switzerland,Wheat,2004,61177,1537.0,1390.7,7.67
Ecuador,"Rice, paddy",2001,36000,2274.0,7344.0,21.88
Central African Republic,Cassava,2004,29768,1342.0,22.87,25.67
Rwanda,Yams,2007,48020,1212.0,398.11,19.6
Suriname,Soybeans,1994,7458,2331.0,178.5,26.82
Croatia,Sorghum,2013,50203,1113.0,1836.21,11.58
Iraq,Maize,1998,21803,216.0,755.0,24.33
India,Sorghum,1996,9591,1083.0,56114.0,25.63
Italy,Maize,2005,93678,832.0,84647.0,12.16
India,"Rice, paddy",1990,26125,1083.0,75000.0,25.79
Iraq,Maize,2001,23613,216.0,837.47,20.8
Nicaragua,Potatoes,2004,133333,2280.0,4581.73,27.22
Niger,Potatoes,1994,206531,151.0,62.0,29.05
Norway,Wheat,1993,51096,1414.0,749.0,2.72
Chile,Sweet potatoes,1996,63928,1522.0,15373.0,6.26
Senegal,Sweet potatoes,2002,107470,686.0,328.0,25.4
Mexico,Wheat,2012,56568,758.0,64512.22,21.52
Colombia,"Rice, paddy",1999,48009,3240.0,66088.0,26.77
South Africa,"Rice, paddy",1998,22744,495.0,24304.0,16.11
Italy,Wheat,2002,31247,832.0,94211.0,13.14
Australia,"Rice, paddy",1995,88003,534.0,25598.0,16.14
Ghana,"Rice, paddy",1990,16510,1187.0,65.8,26.73
Mali,Yams,2000,195076,282.0,17.59,27.51
Guatemala,Potatoes,1991,207137,1996.0,12004.33,19.91
Australia,"Rice, paddy",2009,84609,534.0,38065.68,20.65
Italy,"Rice, paddy",2001,58494,832.0,75978.0,13.23
Guyana,Maize,2009,13476,2387.0,264.47,27.67
Brazil,Soybeans,2002,25739,1761.0,145552.0,26.01
Turkey,Potatoes,2005,266540,593.0,40332.0,14.23
Morocco,Potatoes,2008,244675,346.0,13697.0,17.8
Kenya,Cassava,2006,95856,630.0,1578.0,16.92
Spain,Soybeans,2008,29801,636.0,40719.0,17.21
Brazil,Wheat,1993,14825,1761.0,75658.33,20.49
Canada,Potatoes,1990,250994,537.0,29568.0,6.07
Indonesia,"Rice, paddy",1991,43465,2702.0,3259.0,27.04
Chile,"Rice, paddy",1993,44921,1522.0,15373.0,6.16
Saudi Arabia,Potatoes,1998,180428,59.0,2683.37,26.48
Australia,Sweet potatoes,2007,346237,534.0,32446.25,18.02
Morocco,Maize,2007,4155,346.0,13697.0,17.99
Bangladesh,Soybeans,2013,14729,2666.0,15330.16,26.59
Brazil,Yams,1998,91823,1761.0,118930.56,26.08
Mali,Sweet potatoes,2006,186516,282.0,11.87,27.62
Mozambique,Cassava,2000,57911,1032.0,34.69,21.51
Brazil,Maize,2008,40800,1761.0,312637.0,17.88
Mexico,"Rice, paddy",2002,45027,758.0,16189.88,16.37
Australia,Wheat,2004,19998,534.0,36276.0,16.64
Australia,Maize,1992,51721,534.0,22234.0,19.79
Libya,Wheat,1992,10015,56.0,87.0,19.67
Spain,Wheat,1996,30016,636.0,33236.0,16.72
India,Cassava,2011,364770,1083.0,55540.0,25.48
Peru,Maize,2006,27129,1738.0,12074.5,17.61
Indonesia,Soybeans,2008,13119,2702.0,1597.0,26.97
Brazil,Yams,1993,91471,1761.0,75658.33,26.89
